Name,Genre,Platforms,ESRB Rating
GTA V,Action,"Playstation,Xbox,PC",M
Playerunknown's Battlegrounds,Action,"Playstation,PC",T
Fortnite,Action,"Switch,Playstation,PC",T
Overwatch,Action,"Switch,Playstation,Xbox,PC",T
Borderlands 3,Action,"Playstation,Xbox,PC",M
Minecraft,Adventure,"Switch,Playstation,Xbox,PC",E10+
Thimbleweed Park,Adventure,"Switch,Xbox,PC",T
Life is Strange,Adventure,"Playstation,Xbox,PC",M
Broken Age,Adventure,"Switch,Playstation,Xbox,PC",E10+
Heavy Rain,Adventure,"Playstation,PC",M
Spore,Simulation,PC,E10+
Cities: Skylines,Simulation,"Switch,Playstation,Xbox,PC",E
Sims 4,Simulation,"Playstation,Xbox,PC",T
American Truck Simulator,Simulation,PC,E
Goat Simulator,Simulation,"Switch,Playstation,Xbox,PC",M
Rocket League,Sports,"Switch,Playstation,Xbox,PC",E
F1 2019,Sports,"Playstation,Xbox,PC",E
NBA 2k20,Sports,"Switch,Playstation,Xbox,PC",E
Fifa 19,Sports,"Switch,Playstation,Xbox,PC",E
Madden NFL 19,Sports,"Playstation,Xbox,PC",E
Braid,Puzzle,"Playstation,Xbox,PC",E10+
Human Resource Machine,Puzzle,"Switch,PC",E10+
Doodle God,Puzzle,"Playstation,PC",E
Fez,Puzzle,"Playstation,Xbox,PC",E
Portal 2,Puzzle,"Playstation,Xbox,PC",E10+
